scene_id,obj_a,obj_b,relation,a_color,b_color,a_pts,b_pts,delta_z,xy_distance,dist_3d,bbox_overlap_xy,volume_ratio,height_ratio,size_ratio_xy,color_distance,a_bottom_z,b_top_z,vertical_gap,a_pts_log,b_pts_log
scene_01,0,1,,"rgb(99,38,70)","rgb(146,120,96)",199,121,-0.3974,2.1819,2.2178,0.0,0.2295,2.6619,1.6613,0.2219,2.5492,2.8019,-0.2527,5.2983,4.804
scene_01,0,2,,"rgb(99,38,70)","rgb(123,53,63)",199,253,-1.4147,4.2139,4.4451,0.0,0.6553,0.8384,1.1262,0.066,2.5492,2.2448,0.3044,5.2983,5.5373
scene_01,0,3,,"rgb(99,38,70)","rgb(163,113,146)",199,265,-0.5934,3.2942,3.3472,0.0,0.2733,0.5629,0.7986,0.2819,2.5492,3.1515,-0.6023,5.2983,5.5835
scene_01,0,4,,"rgb(99,38,70)","rgb(161,81,104)",199,453,-0.2178,4.3992,4.4046,0.0,0.3013,0.5348,0.9434,0.1874,2.5492,3.4981,-0.9489,5.2983,6.1181
scene_01,0,5,,"rgb(99,38,70)","rgb(99,49,63)",199,94,-0.617,5.1148,5.1519,0.0,0.1881,1.8605,2.2087,0.0295,2.5492,2.6267,-0.0775,5.2983,4.5539
scene_01,0,6,,"rgb(99,38,70)","rgb(220,220,220)",199,1133,-1.3539,4.232,4.4433,1.0,0.0468,3.1104,0.1348,0.6002,2.5492,1.7952,0.754,5.2983,7.0335
scene_01,1,0,,"rgb(146,120,96)","rgb(99,38,70)",121,199,0.3974,2.1819,2.2178,0.0,0.2295,0.3757,0.6019,0.2219,2.521,3.2968,-0.7758,4.804,5.2983
scene_01,1,2,,"rgb(146,120,96)","rgb(123,53,63)",121,253,-1.0173,2.1472,2.376,0.0,0.1504,0.3149,0.6779,0.1769,2.521,2.2448,0.2763,4.804,5.5373
scene_01,1,3,,"rgb(146,120,96)","rgb(163,113,146)",121,265,-0.196,1.3481,1.3623,0.0,0.0627,0.2115,0.4807,0.1206,2.521,3.1515,-0.6305,4.804,5.5835
scene_01,1,4,,"rgb(146,120,96)","rgb(161,81,104)",121,453,0.1796,2.221,2.2283,0.0,0.0691,0.2009,0.5679,0.0963,2.521,3.4981,-0.977,4.804,6.1181
scene_01,1,5,,"rgb(146,120,96)","rgb(99,49,63)",121,94,-0.2196,2.96,2.9681,0.0,0.8197,0.6989,1.3295,0.2068,2.521,2.6267,-0.1057,4.804,4.5539
scene_01,1,6,,"rgb(146,120,96)","rgb(220,220,220)",121,1133,-0.9565,2.1757,2.3767,1.0,0.0107,1.1685,0.0812,0.3977,2.521,1.7952,0.7258,4.804,7.0335
scene_01,2,0,,"rgb(123,53,63)","rgb(99,38,70)",253,199,1.4147,4.2139,4.4451,0.0,0.6553,1.1928,0.8879,0.066,1.353,3.2968,-1.9438,5.5373,5.2983
scene_01,2,1,,"rgb(123,53,63)","rgb(146,120,96)",253,121,1.0173,2.1472,2.376,0.0,0.1504,3.1751,1.4751,0.1769,1.353,2.8019,-1.4489,5.5373,4.804
scene_01,2,3,,"rgb(123,53,63)","rgb(163,113,146)",253,265,0.8213,0.9429,1.2505,0.2559,0.4171,0.6714,0.7091,0.2489,1.353,3.1515,-1.7985,5.5373,5.5835
scene_01,2,4,,"rgb(123,53,63)","rgb(161,81,104)",253,453,1.1969,0.8275,1.4551,0.3182,0.4598,0.6379,0.8376,0.1416,1.353,3.4981,-2.1451,5.5373,6.1181
scene_01,2,5,,"rgb(123,53,63)","rgb(99,49,63)",253,94,0.7977,1.0349,1.3066,0.0,0.1233,2.2192,1.9611,0.0551,1.353,2.6267,-1.2737,5.5373,4.5539
scene_01,2,6,,"rgb(123,53,63)","rgb(220,220,220)",253,1133,0.0608,0.0497,0.0785,1.0,0.0714,3.7101,0.1197,0.5635,1.353,1.7952,-0.4422,5.5373,7.0335
scene_01,3,0,,"rgb(163,113,146)","rgb(99,38,70)",265,199,0.5934,3.2942,3.3472,0.0,0.2733,1.7766,1.2522,0.2819,1.8233,3.2968,-1.4735,5.5835,5.2983
scene_01,3,1,,"rgb(163,113,146)","rgb(146,120,96)",265,121,0.196,1.3481,1.3623,0.0,0.0627,4.7292,2.0803,0.1206,1.8233,2.8019,-0.9786,5.5835,4.804
scene_01,3,2,,"rgb(163,113,146)","rgb(123,53,63)",265,253,-0.8213,0.9429,1.2505,0.159,0.4171,1.4894,1.4103,0.2489,1.8233,2.2448,-0.4215,5.5835,5.5373
scene_01,3,4,,"rgb(163,113,146)","rgb(161,81,104)",265,453,0.3756,1.4404,1.4886,0.0,0.9071,0.9501,1.1813,0.1196,1.8233,3.4981,-1.6748,5.5835,6.1181
scene_01,3,5,,"rgb(163,113,146)","rgb(99,49,63)",265,94,-0.0236,1.943,1.9431,0.0,0.0514,3.3054,2.7657,0.278,1.8233,2.6267,-0.8034,5.5835,4.5539
scene_01,3,6,,"rgb(163,113,146)","rgb(220,220,220)",265,1133,-0.7605,0.9527,1.219,1.0,0.1712,5.526,0.1688,0.3216,1.8233,1.7952,0.0281,5.5835,7.0335
scene_01,4,0,,"rgb(161,81,104)","rgb(99,38,70)",453,199,0.2178,4.3992,4.4046,0.0,0.3013,1.8699,1.06,0.1874,2.1001,3.2968,-1.1967,6.1181,5.2983
scene_01,4,1,,"rgb(161,81,104)","rgb(146,120,96)",453,121,-0.1796,2.221,2.2283,0.0,0.0691,4.9775,1.761,0.0963,2.1001,2.8019,-0.7018,6.1181,4.804
scene_01,4,2,,"rgb(161,81,104)","rgb(123,53,63)",453,253,-1.1969,0.8275,1.4551,0.2293,0.4598,1.5677,1.1938,0.1416,2.1001,2.2448,-0.1447,6.1181,5.5373
scene_01,4,3,,"rgb(161,81,104)","rgb(163,113,146)",453,265,-0.3756,1.4404,1.4886,0.0,0.9071,1.0525,0.8465,0.1196,2.1001,3.1515,-1.0514,6.1181,5.5835
scene_01,4,5,,"rgb(161,81,104)","rgb(99,49,63)",453,94,-0.3992,0.8053,0.8988,0.0618,0.0567,3.479,2.3412,0.1832,2.1001,2.6267,-0.5266,6.1181,4.5539
scene_01,4,6,,"rgb(161,81,104)","rgb(220,220,220)",453,1133,-1.1361,0.8714,1.4318,1.0,0.1553,5.8162,0.1429,0.4311,2.1001,1.7952,0.3049,6.1181,7.0335
scene_01,5,0,,"rgb(99,49,63)","rgb(99,38,70)",94,199,0.617,5.1148,5.1519,0.0,0.1881,0.5375,0.4528,0.0295,2.2249,3.2968,-1.0719,4.5539,5.2983
scene_01,5,1,,"rgb(99,49,63)","rgb(146,120,96)",94,121,0.2196,2.96,2.9681,0.0,0.8197,1.4308,0.7522,0.2068,2.2249,2.8019,-0.577,4.5539,4.804
scene_01,5,2,,"rgb(99,49,63)","rgb(123,53,63)",94,253,-0.7977,1.0349,1.3066,0.0,0.1233,0.4506,0.5099,0.0551,2.2249,2.2448,-0.0199,4.5539,5.5373
scene_01,5,3,,"rgb(99,49,63)","rgb(163,113,146)",94,265,0.0236,1.943,1.9431,0.0,0.0514,0.3025,0.3616,0.278,2.2249,3.1515,-0.9266,4.5539,5.5835
scene_01,5,4,,"rgb(99,49,63)","rgb(161,81,104)",94,453,0.3992,0.8053,0.8988,0.3132,0.0567,0.2874,0.4271,0.1832,2.2249,3.4981,-1.2732,4.5539,6.1181
scene_01,5,6,,"rgb(99,49,63)","rgb(220,220,220)",94,1133,-0.7369,1.0461,1.2796,1.0,0.0088,1.6718,0.061,0.5927,2.2249,1.7952,0.4297,4.5539,7.0335
scene_01,6,0,,"rgb(220,220,220)","rgb(99,38,70)",1133,199,1.3539,4.232,4.4433,0.015,0.0468,0.3215,7.4171,0.6002,1.5548,3.2968,-1.742,7.0335,5.2983
scene_01,6,1,,"rgb(220,220,220)","rgb(146,120,96)",1133,121,0.9565,2.1757,2.3767,0.0092,0.0107,0.8558,12.322,0.3977,1.5548,2.8019,-1.2471,7.0335,4.804
scene_01,6,2,,"rgb(220,220,220)","rgb(123,53,63)",1133,253,-0.0608,0.0497,0.0785,0.0192,0.0714,0.2695,8.3534,0.5635,1.5548,2.2448,-0.6899,7.0335,5.5373
scene_01,6,3,,"rgb(220,220,220)","rgb(163,113,146)",1133,265,0.7605,0.9527,1.219,0.031,0.1712,0.181,5.9232,0.3216,1.5548,3.1515,-1.5967,7.0335,5.5835
scene_01,6,4,,"rgb(220,220,220)","rgb(161,81,104)",1133,453,1.1361,0.8714,1.4318,0.0267,0.1553,0.1719,6.9971,0.4311,1.5548,3.4981,-1.9432,7.0335,6.1181
scene_01,6,5,,"rgb(220,220,220)","rgb(99,49,63)",1133,94,0.7369,1.0461,1.2796,0.0053,0.0088,0.5981,16.3819,0.5927,1.5548,2.6267,-1.0719,7.0335,4.5539
scene_02,0,1,,"rgb(68,69,73)","rgb(142,122,120)",5253,9063,0.6913,2.8821,2.9639,1.0,0.1479,0.6161,0.4221,0.2319,1.7347,4.9353,-3.2005,8.5667,9.1121
scene_02,0,2,,"rgb(68,69,73)","rgb(220,220,220)",5253,1508,-0.1442,0.1005,0.1757,1.0,0.5963,13.3237,0.2635,0.5883,1.7347,2.2778,-0.543,8.5667,7.3192
scene_02,1,0,,"rgb(142,122,120)","rgb(68,69,73)",9063,5253,-0.6913,2.8821,2.9639,0.2401,0.1479,1.6231,2.3689,0.2319,2.2377,3.3968,-1.159,9.1121,8.5667
scene_02,1,2,,"rgb(142,122,120)","rgb(220,220,220)",9063,1508,-0.8354,2.9176,3.0348,1.0,0.0882,21.6255,0.6241,0.3629,2.2377,2.2778,-0.0401,9.1121,7.3192
scene_02,2,0,,"rgb(220,220,220)","rgb(68,69,73)",1508,5253,0.1442,0.1005,0.1757,0.1259,0.5963,0.0751,3.7958,0.5883,2.153,3.3968,-1.2437,7.3192,8.5667
scene_02,2,1,,"rgb(220,220,220)","rgb(142,122,120)",1508,9063,0.8354,2.9176,3.0348,0.5244,0.0882,0.0462,1.6023,0.3629,2.153,4.9353,-2.7822,7.3192,9.1121
